OBJECTID,FID_Wuhan,name,FID_t20130101start,T_TargetID,T_UTCTime,t1,t2,OD,T_Longitud,T_Latitude
11135,17,硚口区,0,MMC8000GPSANDASYN051113-16066-00000000,1356969970,0,262144,1,114.224955,30.5929
13268,18,江汉区,0,MMC8000GPSANDASYN051113-16066-00000000,1356970290,262144,0,1,114.237216,30.610683
14689,18,江汉区,1,MMC8000GPSANDASYN051113-16066-00000000,1356971000,0,262144,2,114.269286,30.62176
14953,18,江汉区,1,MMC8000GPSANDASYN051113-16066-00000000,1356971010,262144,0,2,114.269286,30.62176
12269,19,江岸区,2,MMC8000GPSANDASYN051113-16066-00000000,1356971620,0,262144,3,114.300796,30.604683
12474,19,江岸区,2,MMC8000GPSANDASYN051113-16066-00000000,1356971630,262144,0,3,114.300796,30.604683
14197,19,江岸区,3,MMC8000GPSANDASYN051113-16066-00000000,1356972050,0,262144,4,114.29175,30.618881
11711,18,江汉区,3,MMC8000GPSANDASYN051113-16066-00000000,1356973370,262144,0,4,114.257775,30.5969
7437,16,汉阳区,4,MMC8000GPSANDASYN051113-16066-00000000,1356974150,0,262144,5,114.20034,30.561123
6792,16,汉阳区,4,MMC8000GPSANDASYN051113-16066-00000000,1356974400,262144,0,5,114.220533,30.554686
8075,16,汉阳区,5,MMC8000GPSANDASYN051113-16066-00000000,1356974740,0,262144,6,114.211166,30.568156
7151,16,汉阳区,5,MMC8000GPSANDASYN051113-16066-00000000,1356996490,262144,0,6,114.221673,30.558496
8817,17,硚口区,6,MMC8000GPSANDASYN051113-16066-00000000,1356996930,0,262144,7,114.245936,30.574786
8788,17,硚口区,6,MMC8000GPSANDASYN051113-16066-00000000,1356997010,262144,0,7,114.245936,30.574786
10032,17,硚口区,7,MMC8000GPSANDASYN051113-16066-00000000,1356997270,0,262144,8,114.268678,30.584521
7038,16,汉阳区,7,MMC8000GPSANDASYN051113-16066-00000000,1356997810,262144,0,8,114.260358,30.557456
1224,20,东西湖区,8,MMC8000GPSANDASYN051113-16066-00000000,1356999810,0,262144,9,114.138113,30.487546
977,20,东西湖区,8,MMC8000GPSANDASYN051113-16066-00000000,1356999820,262144,0,9,114.138495,30.486615
541,20,东西湖区,9,MMC8000GPSANDASYN051113-16066-00000000,1357000350,0,262144,10,114.090285,30.465291
348,20,东西湖区,9,MMC8000GPSANDASYN051113-16066-00000000,1357000470,262144,0,10,114.090658,30.462921
9954,17,硚口区,10,MMC8000GPSANDASYN051113-16066-00000000,1357002960,0,262144,11,114.27178,30.583845
6503,16,汉阳区,10,MMC8000GPSANDASYN051113-16066-00000000,1357003540,262144,0,11,114.260441,30.552426
9873,17,硚口区,11,MMC8000GPSANDASYN051113-16066-00000000,1357004170,0,262144,12,114.264205,30.583328
6745,16,汉阳区,11,MMC8000GPSANDASYN051113-16066-00000000,1357004980,262144,0,12,114.242383,30.554258
10612,17,硚口区,12,MMC8000GPSANDASYN051113-16066-00000000,1357006240,0,262144,13,114.215426,30.5886
10075,17,硚口区,12,MMC8000GPSANDASYN051113-16066-00000000,1357006420,262144,0,13,114.218721,30.584353
8677,16,汉阳区,13,MMC8000GPSANDASYN051113-16066-00000000,1357006680,0,262144,14,114.204206,30.573735
9128,16,汉阳区,13,MMC8000GPSANDASYN051113-16066-00000000,1357007090,262144,0,14,114.18698,30.577853
8034,16,汉阳区,14,MMC8000GPSANDASYN051113-16066-00000000,1357007960,0,262144,15,114.209915,30.567971
8062,16,汉阳区,14,MMC8000GPSANDASYN051113-16066-00000000,1357007980,262144,0,15,114.210155,30.568093
6840,16,汉阳区,15,MMC8000GPSANDASYN051113-16066-00000000,1357010190,0,262144,16,114.246326,30.55446
6739,16,汉阳区,15,MMC8000GPSANDASYN051113-16066-00000000,1357013790,262144,0,16,114.23106,30.554183
6754,16,汉阳区,16,MMC8000GPSANDASYN051113-16066-00000000,1357014070,0,262144,17,114.22324,30.553786
6676,16,汉阳区,16,MMC8000GPSANDASYN051113-16066-00000000,1357014070,262144,0,17,114.223288,30.553808
7880,16,汉阳区,17,MMC8000GPSANDASYN051113-16066-00000000,1357014790,0,262144,18,114.201145,30.565996
7818,16,汉阳区,17,MMC8000GPSANDASYN051113-16066-00000000,1357014800,262144,0,18,114.201145,30.565996
9718,17,硚口区,18,MMC8000GPSANDASYN051113-16066-00000000,1357015420,0,262144,19,114.22228,30.58214
9756,17,硚口区,18,MMC8000GPSANDASYN051113-16066-00000000,1357015430,262144,0,19,114.22228,30.58214
7430,16,汉阳区,19,MMC8000GPSANDASYN051113-16066-00000000,1357016400,0,262144,20,114.138365,30.561086
7414,16,汉阳区,19,MMC8000GPSANDASYN051113-16066-00000000,1357016440,262144,0,20,114.140796,30.561181
5973,16,汉阳区,20,MMC8000GPSANDASYN051113-16066-00000000,1357018460,0,262144,21,114.267396,30.547121
5845,16,汉阳区,20,MMC8000GPSANDASYN051113-16066-00000000,1357018510,262144,0,21,114.267438,30.547246
9433,17,硚口区,21,MMC8000GPSANDASYN051113-16066-00000000,1357019940,0,262144,22,114.253441,30.580251
9505,17,硚口区,21,MMC8000GPSANDASYN051113-16066-00000000,1357019950,262144,0,22,114.252831,30.580246
15782,18,江汉区,22,MMC8000GPSANDASYN051113-16066-00000000,1357021130,0,262144,23,114.21672,30.632993
15922,18,江汉区,22,MMC8000GPSANDASYN051113-16066-00000000,1357021300,262144,0,23,114.220346,30.631166
14431,17,硚口区,23,MMC8000GPSANDASYN051113-16066-00000000,1357022090,0,262144,24,114.148918,30.620541
14673,17,硚口区,23,MMC8000GPSANDASYN051113-16066-00000000,1357022380,262144,0,24,114.150033,30.620546
10660,16,汉阳区,24,MMC8000GPSANDASYN051113-16066-00000000,1357022870,0,262144,25,114.161343,30.589123
8973,16,汉阳区,24,MMC8000GPSANDASYN051113-16066-00000000,1357023260,262144,0,25,114.192968,30.576548
9983,17,硚口区,25,MMC8000GPSANDASYN051113-16066-00000000,1357023850,0,262144,26,114.219723,30.584093
10277,17,硚口区,25,MMC8000GPSANDASYN051113-16066-00000000,1357023930,262144,0,26,114.217618,30.585675
8654,16,汉阳区,26,MMC8000GPSANDASYN051113-16066-00000000,1357029810,0,262144,27,114.205123,30.573555
8696,16,汉阳区,26,MMC8000GPSANDASYN051113-16066-00000000,1357029870,262144,0,27,114.20259,30.574161
9750,16,汉阳区,27,MMC8000GPSANDASYN051113-16066-00000000,1357030690,0,262144,28,114.144115,30.582468
9106,16,汉阳区,27,MMC8000GPSANDASYN051113-16066-00000000,1357031240,262144,0,28,114.187706,30.577735
9647,17,硚口区,28,MMC8000GPSANDASYN051113-16066-00000000,1357031890,0,262144,29,114.222855,30.581745
9778,17,硚口区,28,MMC8000GPSANDASYN051113-16066-00000000,1357031930,262144,0,29,114.222085,30.582271
2596,20,东西湖区,29,MMC8000GPSANDASYN051113-16066-00000000,1357033870,0,262144,30,114.151175,30.509546
6824,16,汉阳区,29,MMC8000GPSANDASYN051113-16066-00000000,1357036020,262144,0,30,114.220501,30.555061
8510,17,硚口区,30,MMC8000GPSANDASYN051113-16066-00000000,1357036830,0,262144,31,114.251545,30.57205
8527,17,硚口区,30,MMC8000GPSANDASYN051113-16066-00000000,1357036860,262144,0,31,114.249493,30.572165
6897,16,汉阳区,31,MMC8000GPSANDASYN051113-16066-00000000,1357037570,0,262144,32,114.223991,30.55502
6273,16,汉阳区,31,MMC8000GPSANDASYN051113-16066-00000000,1357038220,262144,0,32,114.238351,30.551043
3792,16,汉阳区,32,MMC8000GPSANDASYN051113-16066-00000000,1357040330,0,262144,33,114.249333,30.524153
3513,16,汉阳区,32,MMC8000GPSANDASYN051113-16066-00000000,1357040360,262144,0,33,114.249008,30.523796
3543,16,汉阳区,33,MMC8000GPSANDASYN051113-16066-00000000,1357040650,0,262144,34,114.239746,30.520991
3446,16,汉阳区,33,MMC8000GPSANDASYN051113-16066-00000000,1357040810,262144,0,34,114.235881,30.522848
3887,16,汉阳区,34,MMC8000GPSANDASYN051113-16066-00000000,1357041940,0,262144,35,114.250493,30.52535
3465,16,汉阳区,34,MMC8000GPSANDASYN051113-16066-00000000,1357042020,262144,0,35,114.248318,30.523078
4148,16,汉阳区,35,MMC8000GPSANDASYN051113-16066-00000000,1357042260,0,262144,36,114.23847,30.52847
3904,16,汉阳区,35,MMC8000GPSANDASYN051113-16066-00000000,1357042280,262144,0,36,114.23847,30.52847
6275,16,汉阳区,36,MMC8000GPSANDASYN051113-16066-00000000,1357042930,0,262144,37,114.26495,30.54965
6126,16,汉阳区,36,MMC8000GPSANDASYN051113-16066-00000000,1357042940,262144,0,37,114.26495,30.54965
