date,temp,rh,pop,wDir,wSpeed
2015010100,  2,  40,  0.00,  355,  1
2015010101,  5,  37,  0.00,  9,  5
2015010102,  4,  40,  0.00,  19,  4
2015010103,  0,  48,  0.00,  51,  0
2015010104,  0,  70,  0.00,  11,  0
2015010105,  -3,  79,  0.00,  328,  0
2015010106,  -4,  80,  0.00,  341,  0
2015010107,  -4,  86,  0.00,  356,  0
2015010108,  -2,  90,  0.00,  340,  2
2015010109,  1,  47,  0.00,  343,  1
2015010110,  5,  38,  0.00,  23,  2
2015010111,  7,  29,  0.00,  359,  2
2015010112,  6,  22,  0.00,  297,  0
2015010113,  7,  23,  0.00,  40,  2
2015010114,  9,  23,  0.00,  29,  3
2015010115,  7,  18,  0.00,  61,  3
2015010116,  9,  17,  0.00,  25,  3
2015010117,  8,  20,  0.00,  76,  2
2015010118,  1,  50,  0.00,  0,  0
2015010119,  1,  64,  0.00,  0,  0
2015010120,  -2,  69,  0.00,  0,  0
2015010121,  -3,  76,  0.00,  0,  0
2015010122,  -1,  82,  0.00,  0,  0
2015010200,  0,  89,  0.00,  0,  0
2015010201,  1,  86,  0.00,  0,  0
2015010202,  0,  85,  0.00,  0,  0
2015010203,  0,  85,  0.00,  0,  0
2015010204,  4,  74,  0.00,  137,  2
2015010205,  3,  55,  0.00,  0,  0
2015010206,  2,  70,  0.00,  38,  0
2015010207,  2,  70,  0.00,  55,  0
2015010208,  4,  79,  0.00,  86,  0
2015010209,  5,  68,  0.00,  293,  0
2015010210,  5,  43,  0.00,  113,  0
2015010211,  9,  38,  0.00,  107,  2
2015010212,  9,  35,  0.00,  137,  3
2015010213,  10,  31,  0.00,  116,  2
2015010214,  8,  25,  0.00,  130,  0
2015010215,  8,  28,  0.00,  56,  0
2015010216,  7,  39,  0.00,  21,  2
2015010217,  9,  47,  0.00,  26,  0
2015010218,  8,  57,  0.00,  343,  2
2015010219,  7,  53,  0.00,  21,  2
2015010220,  7,  54,  0.00,  54,  2
2015010221,  5,  52,  0.00,  359,  0
2015010222,  6,  55,  0.00,  356,  2
2015010300,  4,  60,  0.00,  73,  0
2015010301,  4,  72,  0.00,  0,  0
2015010302,  2,  84,  0.00,  0,  0
2015010303,  1,  90,  0.00,  0,  0
2015010304,  0,  89,  0.00,  0,  0
2015010305,  1,  91,  0.00,  0,  0
2015010306,  -1,  92,  0.00,  0,  0
2015010307,  1,  95,  0.00,  0,  0
2015010308,  -1,  94,  0.00,  0,  0
2015010309,  3,  74,  0.00,  178,  0
2015010310,  9,  58,  0.00,  169,  3
2015010311,  9,  43,  0.00,  199,  1
2015010312,  12,  40,  0.00,  150,  4
2015010313,  14,  35,  0.00,  196,  4
2015010314,  12,  34,  0.00,  200,  2
2015010315,  15,  33,  0.00,  187,  4
2015010316,  14,  36,  0.00,  188,  4
2015010317,  14,  38,  0.00,  180,  2
2015010318,  7,  56,  0.00,  185,  0
2015010319,  7,  73,  0.00,  154,  0
2015010320,  3,  78,  0.00,  183,  0
2015010321,  2,  85,  0.00,  73,  0
2015010322,  3,  88,  0.00,  0,  0
2015010400,  3,  92,  0.00,  0,  0
2015010401,  1,  92,  0.00,  0,  0
2015010402,  2,  93,  0.00,  0,  0
2015010403,  2,  93,  0.00,  126,  0
2015010404,  0,  93,  0.00,  0,  0
2015010405,  2,  96,  0.00,  0,  0
2015010406,  6,  76,  0.00,  131,  3
2015010407,  6,  74,  0.00,  119,  3
2015010408,  3,  91,  0.00,  35,  0
2015010409,  5,  79,  0.00,  113,  0
2015010410,  10,  51,  0.00,  132,  1
2015010411,  12,  43,  0.00,  108,  2
2015010412,  14,  39,  0.00,  120,  1
2015010413,  18,  37,  0.00,  111,  3
2015010414,  19,  36,  0.00,  102,  4
2015010415,  18,  32,  0.00,  113,  1
2015010416,  17,  33,  0.00,  115,  1
2015010417,  16,  41,  0.00,  113,  0
2015010418,  13,  58,  0.00,  0,  0
2015010419,  10,  74,  0.00,  0,  0
2015010420,  6,  79,  0.00,  0,  0
2015010421,  9,  79,  0.00,  127,  2
2015010422,  14,  54,  0.00,  142,  2
2015010500,  14,  57,  0.00,  129,  2
2015010501,  14,  57,  0.00,  138,  2
2015010502,  11,  59,  0.00,  115,  0
2015010503,  12,  57,  0.00,  124,  1
2015010504,  12,  56,  0.00,  125,  0
2015010505,  11,  58,  0.00,  31,  0
2015010506,  12,  58,  0.00,  46,  0
2015010507,  13,  69,  0.00,  8,  0
2015010508,  10,  71,  0.00,  274,  0
2015010509,  11,  70,  0.00,  36,  0
2015010510,  11,  70,  0.00,  323,  0
2015010511,  11,  79,  0.00,  0,  0
2015010512,  11,  70,  0.00,  343,  2
2015010513,  12,  82,  0.00,  1,  3
2015010514,  12,  88,  0.00,  355,  4
2015010515,  11,  95,  0.00,  345,  5
2015010516,  8,  95,  0.40,  28,  2
2015010517,  10,  98,  0.10,  37,  4
2015010518,  8,  94,  0.00,  25,  1
2015010519,  10,  94,  0.00,  14,  2
